stack_family,vendor_or_product,companies_or_segments,evidence_status,why_it_matters,source_ids
Terminal Operating System,Navis N4 / Kaleris N4,CSP Zeebrugge Terminal,observed_public,"Public source reports CSP Zeebrugge went live with Navis N4; this upgrades CSP from generic TOS inference to observed vendor evidence.","S43;S44;S45"
Terminal Operating System,Kaleris TOS / N4 / GC TOS,Container and mixed-cargo terminals,category_reference,"Useful reference family for container and general-cargo terminal research; not observed for every Zeebrugge terminal.","S44;S45"
Terminal optimization,Expert Decking / PrimeRoute,CSP Zeebrugge Terminal,observed_public,"MarineLink/Navis deployment article references Expert Decking and PrimeRoute for yard strategy and resource optimization.","S43"
Port community systems,APICS / ZEDIS / NxtPort / RX-SeaPort / IRP,Port authority data layer and port users,observed_public,"Core ecosystem layer for vessel information port-community workflows ETA APIs and import release.","S02;S03;S21;S34;S35;S36"
Customs and forwarding software,CargoWise / Descartes / customs declaration platforms,Forwarders customs brokers shipping agents,research_target,"Relevant vendor family for Alltraco Dens Ocean RBZ Herfurth and other forwarders but not publicly verified per company in this dataset.","S12;S14;S20"
Transportation management,TMS / route planning / ferry booking / trailer planning,DFDS CLdN ECS NDQ road and shortsea operators,inferred_vendor_family,"Operationally plausible for ferry and intermodal workflows; public data confirms route/flow complexity but not named TMS vendor.","S10;S19;S39;S40;S42"
Warehouse management,WMS / automated warehouse systems / MS SQL BI,ECS NDQ warehousing and intermodal operators,mixed,"ECS sources expose automated warehouses and Microsoft/cloud engineering stack; specific WMS vendor remains unverified.","S10;S11;S29;S38"
Automotive terminal management,VDTMS / vehicle inventory / track-and-trace,UECC ICO MOSOLF Wallenius Wilhelmsen C.RO KESS,mixed,"UECC publicly names VDTMS and tracking; other automotive/RoRo operators remain inferred pending vendor evidence.","S06;S15;S18;S41"
Gate and yard automation,Gate OCR / VBS / slot booking / yard visibility,Container RoRo and automotive terminals,mixed,"CSP VBS manual and Navis/Kaleris evidence support gate/yard workflow mapping; exact OCR vendors remain research targets.","S31;S43;S44"
Enterprise engineering stack,.NET / Angular / C# / MS SQL Server / Azure / Docker / Kubernetes,ECS / 2XL,observed_public,"Official ECS vacancy names concrete engineering stack for in-house logistics applications and integrations.","S38"
ERP and finance systems,SAP / Oracle / Microsoft Dynamics,Large logistics operators and terminals,research_target,"Common enterprise systems to verify through vacancies vendor cases and procurement evidence; not claimed as observed in current Zeebrugge rows.","S28;S38"
EDI and customer integration,CLdN EDI mapping / internal and customer EDI formats,CLdN,observed_public,"Official CLdN EDI Engineer vacancy confirms a dedicated EDI mapping function between internal CLdN formats and customer EDI formats.","S46"
Automotive yard automation,Automated multilevel finished-vehicle parking system,ICO Zeebrugge,observed_public,"NYK reports an approved automated multilevel finished-vehicle parking facility for ICO Zeebrugge; this supports yard-automation opportunity mapping without naming a software vendor.","S48"
Port community systems,Portbase / Rotterdam Port Community System,Rotterdam transferability cluster,observed_public,"Port of Rotterdam and Portbase evidence shows a similar port-community system pattern to Zeebrugge's APICS/ZEDIS/NxtPort ecosystem.","S49;S50"
