company,domain,web_tech_signal,job_signal,registry_or_vat_signal,financial_signal,contact_roles_signal,enrichment_status,sources
Port of Antwerp-Bruges,portofantwerpbruges.com,"Official digital products pages expose APICS, ZEDIS, ETA Terminal Tool, Terminal API, APICA digital twin and smart camera signals","Digital-port roles should be researched through official careers and LinkedIn","Port authority / public-law company context; registry enrichment not completed","Not enriched","Port authority, digital products and innovation stakeholders","partial","S01;S02;S03;S04"
NxtPort / RX-SeaPort,nxtport.com,"Port-community data platform and RX/SeaPort integration signal","Search for API, product, data engineer and customs integration roles","Registry enrichment not completed","Not enriched","Product, partnerships, integrations, customs data roles","partial","S21;S22"
ECS / 2XL,ecs2xl.com,"Public Microsoft Analytics / Reporting Services vendor-case signal; website and contact pages indicate large intermodal operation","LinkedIn job signal references automated warehouses, automation engineers, information systems, digitization and planning","ECS European Containers VAT BE0435.131.508; ECS Corporate VAT BE0832.890.302 listed by ECS contact page","Companyweb snippet reports 2024 figures for ECS Corporate; needs official NBB verification","Operations, automation, IT, planning, customs/commercial contacts","strong_public_signal","S10;S11;S25;S29"
NDQ Logistics,ndq.be,"No vendor named; likely WMS/TMS/customs/customer visibility from service mix","Search for Brexit, customs, planner, warehouse and IT roles","Registry/VAT enrichment not completed","Not enriched","Operations, customs, warehouse planning, commercial","needs_research","S19"
International Car Operators (ICO),icoterminals.com,"Terminal handling, vehicle processing and customs services imply TOS/YMS/VMS, EDI/API and yard/gate tooling","Search for terminal planning, IT, vehicle processing, customs and operations roles","Fleet.be public fiche lists VAT BE0479.469.515","Fleet.be public fiche lists turnover and employee range; verify with official filings","Commercial, operations, VPC, terminal planning, customs","strong_public_signal","S15;S27"
Wallenius Wilhelmsen Zeebrugge,walleniuswilhelmsen.com,"RoRo and automotive logistics imply global shipping EDI, yard/vehicle visibility and terminal workflows","APZI board signal names Wallenius Wilhelmsen Logistics in cargo-handler representation","Registry/VAT enrichment not completed","Not enriched","Operations, terminal planning, commercial automotive logistics","partial","S06;S24"
MOSOLF Carcenter Zeebrugge,mosolf-ports.com,"Automotive logistics implies vehicle inventory, damage inspection, customer/OEM portals and transport planning","Search for PDI, yard, operations, IT and customer service roles","Registry/VAT enrichment not completed","Not enriched","Operations, PDI, customer/OEM account roles","needs_research","S18"
PSA Zeebrugge,psa-zeebrugge.be,"Intermodal and distribution services imply TOS, EDI, rail/barge planning and PCS integration","Search for terminal planning, gate, operations and IT roles","Registry/VAT enrichment not completed","Not enriched","Terminal operations, planning, IT, commercial","needs_research","S16"
CSP Zeebrugge Terminal,cspterminals.be,"Public site lists ZPMC cranes; VBS web application manual and contact pages show web-based operational workflows","LinkedIn signal mentions IT Analyst Developer and technical vacancies","CSP contact page lists VAT BE0870.784.836","Not enriched","IT analyst/developer, operations, customer service, breakbulk, claims, commercial","strong_public_signal","S17;S26;S28;S31;S32"
Fluxys LNG Terminal Zeebrugge,fluxys.com,"Energy terminal implies SCADA/OT, nominations, scheduling, safety and compliance systems","Search for OT, process control, scheduling, HSE and cybersecurity roles","Belgian ISPS list snippet includes Fluxys LNG Terminal VAT BE0426.047.853","Not enriched","OT, operations, HSE, scheduling, compliance","partial","S04;S32"
Alltraco,alltraco.com,"AEO/customs and forwarding services imply customs declaration, forwarding TMS and document tooling","Search for customs declarant, freight forwarder and operations roles","Registry/VAT enrichment not completed","Not enriched","Customs, forwarding, operations, commercial","needs_research","S12"
Notman Logistics,notmanlogistics.be,"Road freight, terminal trucks and warehousing imply fleet planning, telematics and basic WMS","Search for planner, dispatcher, warehouse and fleet roles","Registry/VAT enrichment not completed","Not enriched","Dispatch, warehouse, transport planning, commercial","needs_research","S13"
Dens Ocean Shipping & Logistics,densocean.net,"Shipping and forwarding activity implies forwarding TMS, documentation and customs integrations","Search for shipping/forwarding/customer service roles","Registry/VAT enrichment not completed","Not enriched","Forwarding, documentation, customs, commercial","needs_research","S14"
RBZ,rbz.be,"Shipping agency implies vessel agency software, port-call workflows and APICS/ZEDIS interactions","Search for shipping agent, vessel operations and documentation roles","Registry/VAT enrichment not completed","Not enriched","Vessel agency, documentation, operations, commercial","needs_research","S20"
Herfurth Logistics / M-Star Freight,herfurth-logistics.com,"Forwarding activity implies TMS, customs, carrier EDI and customer portal","Search for freight forwarder, customs, IT and EDI roles","Registry/VAT enrichment not completed","Not enriched","Forwarding, customs, IT/EDI, commercial","needs_research","S09"
DFDS,dfds.com,"Ferry/shortsea activity implies booking systems, EDI/API, trailer planning and customs workflows","Search for ferry operations, planning, customs and IT roles around Zeebrugge","Registry/VAT enrichment not completed","Not enriched","Operations, planning, customs, commercial","needs_research","S09"
CLdN,cldn.com,"Shortsea RoRo activity implies booking, RoRo terminal planning, EDI/API and Brexit/customs workflows","Belgian ISPS list snippet includes CLdN Ports Zeebrugge NV VAT BE0418.294.979","Registry/VAT signal from ISPS list needs official KBO confirmation","Not enriched","Terminal planning, RoRo operations, customs, commercial","partial","S09;S32"
C.RO Ports / C.RO Terminal,cldn.com,"RoRo terminal operations imply TOS/YMS, gate OCR, EDI/API and customer integrations; public business-directory results point C.RO Ports Zeebrugge to CLdN web presence","Search for terminal planning, gate operations and IT roles","Registry/VAT enrichment not completed","Not enriched","Terminal operations, planning, IT, commercial","partial","S09"
UECC,uecc.com,"Public site mentions advanced digital solutions; automotive shipping implies vehicle/voyage visibility and EDI/API","Search for operations, digital, customer service and terminal coordination roles","Registry/VAT enrichment not completed","Not enriched","Operations, digital/customer visibility, commercial","partial","S09"
K Line European Sea Highway Services (KESS),klineurope.com,"Automotive feeder activity implies shipping operations, automotive EDI, route planning and customer visibility","Search for shipping operations, planner and customer service roles","Registry/VAT enrichment not completed","Not enriched","Shipping operations, automotive logistics, commercial","needs_research","S09"
