segment,person,organization,role_signal,tech_relevance,sources
Chairperson,Geert Vandecappelle,Boluda Towage Belgium,APZI chairperson and industrial/commercial enterprise representative,"Port-community leadership signal; useful contact path for towage, operations and cross-sector port interests","S24"
Cargo handlers,Carla Debart,Cewez,Board representation for cargo handlers,"Cargo handling segment proxy for terminal and stevedoring workflows","S24"
Cargo handlers,Stijn Rubbens,Wallenius Wilhelmsen Logistics,Board representation for cargo handlers,"Automotive/RoRo terminal and shipping workflow signal","S24"
Cargo handlers,Nancy Van Osselaer,CSP Zeebrugge Terminals,Board representation for cargo handlers,"Container terminal operations and IT/terminal tooling signal","S24"
Shipping agents,Stefaan Hoppe,Hoppe Maritime Agency,Board representation for shipping agents,"Port-call, documentation, berth-event and APICS/ZEDIS workflow signal","S24"
Shipping agents,Stijn Devolder,Navonus,Board representation for shipping agents,"Vessel agency and documentation workflow signal","S24"
Shipping agents,Ruben Lagaet,Finnlines,Board representation for shipping agents,"Shortsea/ferry scheduling, booking and operational data signal","S24"
Freight transport,Lieven Goethals,Lineas,Board representation for rail freight,"Rail planning, intermodal scheduling and terminal coordination signal","S24;S30"
Freight transport,Marc Lanckriet,ECS Corporate,Board representation for road freight,"Intermodal road/warehouse/digitization and automation signal","S24;S25;S29"
Freight transport,Patrick Degryse,NHM,Board representation for inland navigation,"Barge/inland navigation planning and modal integration signal","S24"
Forwarders,Bruce Dobbelaere,Wetrex,Board representation for forwarders,"Forwarding, customs and documentation workflow signal","S24"
Forwarders,Dirk Steen,Cilogis,Board representation for forwarders,"Forwarding, customs and logistics workflow signal","S24"
Forwarders,Bert Adriansens,ICO Terminals,Board representation for forwarders,"Automotive terminal, customs and door-to-door workflow signal","S15;S24;S27"
Industrial and commercial enterprises,Xavier Vanneste,Brouwerij De Halve Maan,Board representation for industrial/commercial enterprises,"Shipper/manufacturer perspective for port logistics and supply-chain needs","S24"
Industrial and commercial enterprises,Sylvie Becaus,Zeebrugge Food Logistics,Board representation for industrial/commercial enterprises,"Cold-chain/food logistics and warehouse planning signal","S24"
Industrial and commercial enterprises,Cedric Bulcke,Belgian New Fruit Wharf,Board representation for industrial/commercial enterprises,"Perishable cargo, terminal handling and cold-chain signal","S24"
Industrial and commercial enterprises,Pascal Pannier,Van der Vlist Belgium,Board representation for industrial/commercial enterprises,"Special transport and project cargo planning signal","S24"
