id,firecrawl_action,query_or_target,result_url,evidence_summary,commercial_signal,source_ids,status
FC01,search+scrape,site:portofantwerpbruges.com Zeebrugge logistics terminal digital,https://www.portofantwerpbruges.com/en/news/update-eta-terminal-tool,ETA Terminal Tool exposes arrival and cargo-opening visibility for container terminals and now includes CSP Zeebrugge with API integration,API/data readiness and ETA visibility opportunity,S34,successful
FC02,search+scrape,site:portofantwerpbruges.com Zeebrugge logistics terminal digital,https://newsroom.portofantwerpbruges.com/en/press-releases/nxtport-port-of-antwerp-bruges-and-the-way-forward-launch-inbound-release-platform,IRP launch page names early movers in Zeebrugge and states that customs software providers need integrations,Customs automation and release-status workflow opportunity,S36,successful
FC03,search+scrape,site:portofantwerpbruges.com Zeebrugge logistics terminal digital,https://www.portofantwerpbruges.com/en/maritime-logistics-zone,Maritime Logistics Zone page frames Zeebrugge around RoRo shortsea deepsea multimodal cold-chain and value-added logistics,Market sizing and segment-priority evidence,S37,successful
FC04,search+scrape,Zeebrugge terminal jobs IT developer TOS datawarehouse BI CSP ICO ECS Lineas official,https://www.ecs.be/en/careers/jobs/software-developer,ECS vacancy names in-house applications interfaces customer/supplier integrations .NET Angular MS SQL Server Azure Docker Kubernetes EDA and DDD,Direct company stack signal for ECS / 2XL,S38,successful
FC05,search+scrape,Zeebrugge RoRo CLdN C.RO DFDS UECC KESS official terminal,https://www.cldn.com/en/news/cldn-and-dfds-extend-zeebrugge-gothenburg-space-charter-agreement,CLdN and DFDS route agreement confirms Zeebrugge-Gothenburg freight capacity and transhipment role across wider shortsea network,Route-density signal for planning and trailer visibility,S39,successful
FC06,search+scrape,Zeebrugge RoRo CLdN C.RO DFDS UECC KESS official terminal,https://www.dfds.com/en/freight-ferries-and-logistics/routes-and-schedules,DFDS route directory lists multiple Zeebrugge freight routes including Gothenburg Zeebrugge Fredrikstad and Immingham,Carrier route evidence for DFDS stack hypotheses,S40,successful
FC07,search+scrape,Zeebrugge RoRo CLdN C.RO DFDS UECC KESS official terminal,https://uecc.com/terminal-operations/,UECC names real-time tracking web-based tracking OEM/customer IT integrations and Vehicle Distribution and Terminal Management System,Observed automotive terminal-management stack signal,S41,successful
FC08,search+scrape,Zeebrugge RoRo CLdN C.RO DFDS UECC KESS official terminal,https://www.routescanner.com/partners/CLdN,Routescanner lists CLdN RoRo network and Zeebrugge terminal connections including C.RO Ports and PSA Zeebrugge,Network/platform signal for route intelligence and sales prioritization,S42,successful
FC09,search+scrape,Zeebrugge Navis N4 terminal operating system CSP PSA C.RO,https://www.marinelink.com/news/csp-zeebrugge-terminal-deploys-navis-n-468887,MarineLink reports that CSP Zeebrugge Terminal went live with Navis N4 and uses it for real-time data sharing efficiency and modern TOS operations,Observed TOS vendor evidence for CSP Zeebrugge,S43,successful
FC10,search+scrape,Kaleris Navis N4 terminal operating system official product,https://kaleris.com/solutions/terminal-operating-system/,Kaleris describes N4 as a container-terminal TOS with EDI/API integration optimization modules and productivity/gate performance use cases,Vendor taxonomy evidence for Navis N4 and TOS capabilities,S44,successful
FC11,search+scrape,Kaleris Navis N4 terminal operating system official product,https://www.cisa.gov/news-events/ics-advisories/icsa-25-175-01,CISA identifies Kaleris Navis N4 as terminal operating system equipment and provides current cyber-risk context,Security and operational-risk evidence for TOS stack mapping,S45,successful
FC12,scrape,https://www.apzi.be/en/leden,https://www.apzi.be/en/leden,Firecrawl captured the paginated APZI member directory cards and activity labels across public listing pages,Turns APZI from a generic association signal into a reusable company-directory export layer,S23,successful
FC13,map,https://www.apzi.be,https://www.apzi.be,Firecrawl map found APZI site structure and selected member detail URLs beyond the first listing page,Supports member URL discovery and auditability for APZI market-intelligence research,S23,successful
FC14,scrape,https://www.apzi.be/en/leden,https://www.apzi.be/en/leden,Raw HTML and links scrape exposed Odoo generator frontend session metadata activity filter URLs and member profile links,Adds browser/API inspection evidence for the APZI directory export method,S23,successful
FC15,search+scrape,CLdN careers IT EDI booking customs terminal operations Zeebrugge,https://www.cldn.com/en/careers/vacancies/edi-engineer,CLdN official vacancy describes EDI mapping between internal and customer EDI formats,Observed EDI/customer integration job evidence for CLdN,S46,successful
FC16,search+scrape,ICO Terminals vacancy terminal planning IT vehicle processing customs Zeebrugge,https://www.nyk.com/english/news/2025/20251104_01.html,NYK reports ICO Zeebrugge automated multilevel finished-vehicle parking system approval,Observed automotive yard-automation evidence for ICO,S48,successful
FC17,search+scrape,Rotterdam logistics cluster Portbase Nextlogic port community system terminal operating system,https://www.portbase.com/en/,Portbase and Port of Rotterdam search output shows comparable PCS and logistics data platform pattern,Transferability evidence for applying the same research model to Rotterdam,S49;S50;S51,successful
